game_id,target,value,reason
TRKR1/450550,dragon_soul_side,N/A,system_not_available
TRKR1/450550,elder_dragon_side,N/A,system_not_available
TRKR1/450550,first_baron_side,RED,team_totals
TRKR1/450550,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450550,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/460066,winner_side,BLUE,team_totals
TRKR1/460066,first_dragon_side,RED,firstdragon_flags
TRKR1/460066,more_dragons_side,,missing_dragon_count
TRKR1/460066,first_four_dragon_side,,missing_source_count
TRKR1/460066,dragon_soul_side,N/A,system_not_available
TRKR1/460066,elder_dragon_side,N/A,system_not_available
TRKR1/460066,first_baron_side,RED,team_totals
TRKR1/460066,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/460066,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/460067,winner_side,RED,team_totals
TRKR1/460067,first_dragon_side,BLUE,firstdragon_flags
TRKR1/460067,more_dragons_side,,missing_dragon_count
TRKR1/460067,first_four_dragon_side,,missing_source_count
TRKR1/460067,dragon_soul_side,N/A,system_not_available
TRKR1/460067,elder_dragon_side,N/A,system_not_available
TRKR1/460067,first_baron_side,RED,team_totals
TRKR1/460067,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/460067,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470081,winner_side,RED,team_totals
TRKR1/470081,first_dragon_side,RED,firstdragon_flags
TRKR1/470081,more_dragons_side,,missing_dragon_count
TRKR1/470081,first_four_dragon_side,,missing_source_count
TRKR1/470081,dragon_soul_side,N/A,system_not_available
TRKR1/470081,elder_dragon_side,N/A,system_not_available
TRKR1/470081,first_baron_side,RED,team_totals
TRKR1/470081,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470081,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470083,winner_side,BLUE,team_totals
TRKR1/470083,first_dragon_side,BLUE,firstdragon_flags
TRKR1/470083,more_dragons_side,,missing_dragon_count
TRKR1/470083,first_four_dragon_side,,missing_source_count
TRKR1/470083,dragon_soul_side,N/A,system_not_available
TRKR1/470083,elder_dragon_side,N/A,system_not_available
TRKR1/470083,first_baron_side,BLUE,team_totals
TRKR1/470083,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470083,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470115,winner_side,BLUE,team_totals
TRKR1/470115,first_dragon_side,BLUE,firstdragon_flags
TRKR1/470115,more_dragons_side,,missing_dragon_count
TRKR1/470115,first_four_dragon_side,,missing_source_count
TRKR1/470115,dragon_soul_side,N/A,system_not_available
TRKR1/470115,elder_dragon_side,N/A,system_not_available
TRKR1/470115,first_baron_side,RED,team_totals
TRKR1/470115,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470115,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470116,winner_side,RED,team_totals
TRKR1/470116,first_dragon_side,BLUE,firstdragon_flags
TRKR1/470116,more_dragons_side,,missing_dragon_count
TRKR1/470116,first_four_dragon_side,,missing_source_count
TRKR1/470116,dragon_soul_side,N/A,system_not_available
TRKR1/470116,elder_dragon_side,N/A,system_not_available
TRKR1/470116,first_baron_side,RED,team_totals
TRKR1/470116,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470116,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470126,winner_side,RED,team_totals
TRKR1/470126,first_dragon_side,RED,firstdragon_flags
TRKR1/470126,more_dragons_side,,missing_dragon_count
TRKR1/470126,first_four_dragon_side,,missing_source_count
TRKR1/470126,dragon_soul_side,N/A,system_not_available
TRKR1/470126,elder_dragon_side,N/A,system_not_available
TRKR1/470126,first_baron_side,RED,team_totals
TRKR1/470126,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/470126,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/460156,winner_side,BLUE,team_totals
TRKR1/460156,first_dragon_side,RED,firstdragon_flags
TRKR1/460156,more_dragons_side,,missing_dragon_count
TRKR1/460156,first_four_dragon_side,,missing_source_count
TRKR1/460156,dragon_soul_side,N/A,system_not_available
TRKR1/460156,elder_dragon_side,N/A,system_not_available
TRKR1/460156,first_baron_side,BLUE,team_totals
